iso,Country/Region,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHN,China,MtCO2e,798.80,570.63,459.62,456.78,460.64,500.29,549.46,460.23,495.51,607.68,807.95,909.21,968.65,1008.29,1028.10,1183.21,1226.42,1340.83,1492.78,1525.66,1494.50,1476.49,1606.59,1694.22,1844.83,1998.08,2104.21,2257.74,2425.89,2463.65,2484.85,2606.10,2730.79,2921.65,3103.74,3361.64,3508.82,3515.59,3364.59,3557.27,3649.20,3728.51,4103.04,4841.12,5217.35,5882.14,6494.34,6983.58,7501.50,7891.09,8620.63,9532.41,9779.35,9956.38,9998.67,9866.95,9765.03,10011.15,10353.93,10721.04,10914.01,11336.23
USA,United States,MtCO2e,2897.32,2886.87,2993.90,3126.49,3264.31,3399.55,3571.42,3705.46,3840.92,4035.15,4339.69,4365.47,4573.02,4785.10,4621.10,4478.27,4747.82,4889.67,4941.42,5008.64,4808.56,4686.42,4447.30,4429.42,4662.17,4652.63,4663.43,4825.71,5050.54,5132.21,5120.96,5062.96,5174.23,5272.85,5364.28,5425.26,5612.98,5688.14,5733.28,5803.92,6010.14,5907.74,5946.31,6010.15,6112.65,6132.18,6052.69,6130.12,5915.12,5480.73,5679.72,5546.12,5344.09,5480.16,5528.68,5376.47,5252.93,5212.16,5377.80,5262.15,4714.63,5032.21
IND,India,MtCO2e,111.33,120.40,132.58,142.44,139.49,153.70,159.37,159.56,174.07,177.41,181.72,191.96,203.04,209.09,215.85,234.21,244.75,258.96,263.15,276.28,291.71,314.97,325.38,352.20,361.56,397.59,426.31,455.34,491.69,540.65,578.00,615.37,655.45,677.30,714.06,760.46,823.62,858.01,875.77,950.46,977.53,990.97,1021.66,1059.16,1125.10,1185.67,1292.48,1392.51,1489.44,1612.22,1677.34,1764.71,1925.70,1995.10,2148.34,2234.22,2354.66,2426.61,2593.06,2612.89,2421.55,2674.22
RUS,Russia,MtCO2e,884.55,912.22,957.43,1026.80,1092.03,1158.45,1223.38,1279.23,1315.18,1369.67,1440.53,1528.70,1608.39,1676.31,1740.14,1829.14,1899.59,1964.20,2031.66,2048.51,2129.11,2088.57,2127.95,2158.13,2177.29,2348.14,2348.73,2358.15,2436.09,2404.97,2536.25,2406.76,1966.50,1866.73,1647.66,1619.73,1586.82,1482.24,1465.25,1494.18,1479.14,1515.65,1506.79,1537.02,1543.96,1562.58,1623.00,1623.78,1652.06,1545.03,1632.78,1685.91,1701.27,1640.44,1639.96,1638.68,1634.88,1666.12,1712.49,1705.03,1632.93,1711.99
JPN,Japan,MtCO2e,232.50,282.79,292.86,324.84,358.89,386.47,419.25,489.31,561.91,653.22,767.96,796.54,852.17,914.27,914.31,868.51,907.14,933.24,901.59,953.07,944.87,926.84,897.41,880.91,937.07,912.40,912.26,902.53,985.46,1021.68,1157.20,1168.90,1178.67,1171.69,1226.70,1239.05,1251.55,1244.25,1204.40,1241.04,1263.75,1249.16,1278.79,1287.29,1282.69,1290.14,1267.12,1302.84,1232.01,1163.06,1214.71,1264.63,1305.88,1315.19,1264.07,1223.17,1202.45,1186.80,1141.67,1104.54,1039.80,1062.13
IDN,Indonesia,MtCO2e,21.39,26.00,22.97,22.76,22.37,24.67,23.38,24.54,27.56,33.36,35.79,38.96,43.31,49.10,51.23,53.93,61.79,82.42,93.94,95.14,94.87,100.30,105.58,105.18,112.46,121.60,122.17,123.88,132.72,131.67,155.08,174.87,199.42,215.11,219.37,222.41,253.06,279.94,244.52,292.00,281.33,317.03,308.49,339.36,343.02,347.62,346.63,387.86,365.72,398.94,445.81,500.72,515.95,489.06,487.89,539.15,540.09,556.94,594.10,650.91,605.98,615.92
IRN,Iran,MtCO2e,37.36,36.51,37.43,41.30,47.52,53.72,64.10,67.88,82.33,83.04,91.79,101.63,106.02,129.48,143.78,139.21,156.46,163.73,162.10,162.98,120.49,113.00,137.77,149.58,149.86,159.86,147.60,158.56,175.14,190.20,209.94,221.83,226.93,235.61,263.33,269.27,274.93,267.36,303.51,371.97,364.30,386.16,393.41,407.08,437.68,462.00,496.07,502.57,522.56,536.61,552.95,566.29,588.36,597.95,632.67,631.58,633.83,685.40,710.21,694.67,679.01,688.08
DEU,Germany,MtCO2e,813.95,834.84,883.17,945.50,968.92,960.10,951.42,936.23,984.79,1052.00,1026.02,1037.24,1041.48,1085.74,1062.73,1002.45,1090.84,1052.61,1079.13,1117.89,1100.07,1048.52,1015.73,1011.60,1033.24,1044.12,1047.47,1032.44,1029.02,1008.79,1054.74,1016.87,969.47,959.37,943.18,939.90,959.65,931.49,923.47,895.40,898.94,915.24,898.83,899.86,885.63,865.47,877.50,850.23,852.86,788.29,831.13,807.61,812.82,833.80,794.74,798.08,801.74,785.99,754.81,707.49,647.25,678.80
SAU,Saudi Arabia,MtCO2e,2.67,3.57,6.25,6.94,7.04,4.22,6.41,25.49,29.08,35.27,45.25,59.76,70.28,95.05,98.70,83.26,101.46,118.07,115.02,138.00,169.24,175.30,157.89,160.84,155.51,172.42,204.60,190.45,202.25,203.42,208.50,288.55,316.17,340.64,333.64,268.13,263.33,221.67,213.16,231.48,302.33,302.70,331.98,333.99,401.01,402.85,439.12,394.10,440.34,473.21,524.60,502.93,566.83,544.56,612.84,678.85,697.42,680.85,686.90,707.13,610.77,631.44
KOR,South Korea,MtCO2e,12.54,14.45,17.26,21.08,22.20,24.98,29.98,35.11,37.20,42.47,53.72,58.53,60.25,72.97,75.55,81.67,93.10,105.46,113.12,132.87,134.52,139.59,140.78,149.13,160.70,168.76,176.30,185.36,210.95,223.51,250.51,275.69,299.91,330.17,355.69,383.67,421.00,444.97,378.04,410.52,439.98,455.63,476.06,485.21,491.39,498.69,503.48,521.71,532.65,537.82,594.34,623.44,627.94,634.58,629.37,634.18,637.91,654.54,670.17,646.10,597.63,616.08
CAN,Canada,MtCO2e,192.72,194.00,206.99,210.91,237.58,251.92,259.07,281.64,303.26,307.12,341.18,352.29,380.79,381.27,389.62,396.79,398.96,407.79,415.53,441.68,442.85,429.63,414.45,408.34,425.23,421.72,404.71,430.98,455.67,462.89,458.50,450.16,464.01,464.55,479.03,491.83,508.20,522.58,530.28,544.48,567.10,559.15,564.37,581.43,579.69,574.76,568.58,593.76,576.81,544.14,556.06,565.25,565.78,569.54,566.35,570.68,557.69,566.65,577.07,578.59,522.85,537.17
MEX,Mexico,MtCO2e,63.05,65.24,63.74,66.29,74.20,75.17,80.84,90.01,93.89,102.18,113.95,126.19,132.27,144.06,154.73,164.14,183.74,192.39,222.12,240.26,267.74,283.71,303.91,277.57,276.65,287.37,293.41,306.02,305.67,323.48,317.04,330.13,332.78,338.07,351.84,331.14,341.76,362.68,381.31,386.27,391.73,407.73,410.51,436.18,438.80,463.64,474.74,473.75,473.11,460.42,456.60,483.40,501.57,495.49,484.11,479.52,479.79,465.62,470.29,468.32,442.29,468.79
BRA,Brazil,MtCO2e,46.85,49.14,53.61,55.52,56.63,56.28,64.16,66.03,77.22,84.09,93.49,102.34,114.02,132.06,143.02,150.33,154.61,162.36,177.12,187.79,186.19,171.32,171.50,165.90,167.57,180.11,197.24,205.97,207.70,212.07,218.66,229.39,233.60,244.31,254.00,268.68,289.31,306.95,317.36,327.26,340.18,346.17,347.76,344.64,361.43,364.37,368.87,390.57,412.64,389.77,440.27,462.58,498.31,532.42,557.90,529.35,492.75,497.12,478.00,473.46,444.50,497.21
TUR,Türkiye,MtCO2e,16.80,17.34,21.60,22.64,26.30,27.35,31.51,33.48,36.27,38.75,42.58,47.64,53.72,59.31,60.93,65.42,73.36,81.12,76.71,75.04,75.21,79.19,86.21,89.81,94.91,105.66,115.62,128.44,124.73,137.57,151.62,158.13,164.06,171.14,167.57,181.36,199.65,212.11,212.13,207.93,229.94,213.58,221.23,236.77,244.77,264.87,282.37,313.69,310.62,316.41,316.19,342.06,356.11,347.33,364.03,384.93,405.95,430.90,422.06,402.69,412.93,452.70
ZAF,South Africa,MtCO2e,97.84,102.12,105.67,109.73,119.55,128.14,128.23,133.76,137.95,143.14,149.62,168.40,171.55,173.35,176.54,185.00,192.91,199.73,201.88,218.67,228.20,257.08,280.43,291.90,315.59,323.86,330.50,328.66,342.65,340.71,312.93,326.03,301.33,320.35,338.70,361.69,363.73,385.22,377.26,374.89,378.31,371.62,356.52,404.41,449.31,416.20,446.77,465.04,495.17,480.57,463.00,465.91,458.95,458.63,471.87,446.22,456.97,439.38,435.24,465.43,434.83,425.63
AUS,Australia,MtCO2e,87.44,87.01,90.91,96.00,103.54,113.60,115.74,122.28,128.77,136.41,147.86,151.12,153.60,170.14,166.18,173.10,169.80,181.91,191.05,192.32,204.37,213.81,218.00,207.65,217.52,224.56,224.04,234.60,240.74,256.84,278.16,279.53,284.53,288.87,293.70,305.06,311.94,320.33,334.14,343.96,350.01,357.78,362.54,369.44,382.87,386.21,392.44,399.68,404.26,407.48,405.51,404.26,406.58,399.29,393.05,401.38,410.25,413.66,415.35,415.81,396.69,386.61
